frame,time,origin_x,origin_y,origin_z,x_axis_x,x_axis_y,x_axis_z,y_axis_x,y_axis_y,y_axis_z,z_axis_x,z_axis_y,z_axis_z,R00,R01,R02,R10,R11,R12,R20,R21,R22
0,0.0,103.78845779484,218.998979715113,221.681493604565,0.9608496026722195,-0.07895775019081286,-0.26558184186695255,-0.08852079540810512,-0.9957799872021575,-0.024213340702747912,-0.26254925218890685,0.046774894681614644,-0.9637842079026662,0.9608496026722195,-0.08852079540810512,-0.26254925218890685,-0.07895775019081286,-0.9957799872021575,0.046774894681614644,-0.26558184186695255,-0.024213340702747912,-0.9637842079026662
1,0.0083333333333333,101.101984802,218.739426402406,215.467151055847,0.961195343341792,-0.07622631915749603,-0.26512838438340414,-0.085446326158113,-0.996067951014199,-0.023400049325948618,-0.2623021869602614,0.04514626485186796,-0.963929135095412,0.961195343341792,-0.085446326158113,-0.2623021869602614,-0.07622631915749603,-0.996067951014199,0.04514626485186796,-0.26512838438340414,-0.023400049325948618,-0.963929135095412
2,0.0166666666666667,98.7824292388978,218.775630250126,208.683741265352,0.9609280374564569,-0.07202171563135616,-0.2672642499617152,-0.08096174064543074,-0.9964616890325688,-0.022567650343403214,-0.2646932250393729,0.04332406684368595,-0.9633589787043975,0.9609280374564569,-0.08096174064543074,-0.2646932250393729,-0.07202171563135616,-0.9964616890325688,0.04332406684368595,-0.2672642499617152,-0.022567650343403214,-0.9633589787043975
3,0.025,96.187644560574,218.745190907568,202.24594946118,0.9608845199825027,-0.06864953102778652,-0.26830613326508296,-0.07722964927946782,-0.9967805466605361,-0.0215435157598174,-0.2659633819347428,0.041422019371200124,-0.9630927763102817,0.9608845199825027,-0.07722964927946782,-0.2659633819347428,-0.06864953102778652,-0.9967805466605361,0.041422019371200124,-0.26830613326508296,-0.0215435157598174,-0.9630927763102817
4,0.0333333333333333,93.9459404194214,218.443296827021,195.886648580862,0.9607378272657786,-0.06683846394268063,-0.2692869231849439,-0.07556801837142035,-0.9968941523913425,-0.02217032988846864,-0.26696872824367945,0.04164935372523602,-0.9628047722535564,0.9607378272657786,-0.07556801837142035,-0.26696872824367945,-0.06683846394268063,-0.9968941523913425,0.04164935372523602,-0.2692869231849439,-0.02217032988846864,-0.9628047722535564
5,0.0416666666666667,91.764438623202,218.40131526246,189.662942814209,0.9608181495809969,-0.063039916881079,-0.2699156392567422,-0.07145534345289828,-0.9972129988099965,-0.021456208807767163,-0.26781078642910844,0.03990242955010145,-0.9626448871667173,0.9608181495809969,-0.07145534345289828,-0.26781078642910844,-0.063039916881079,-0.9972129988099965,0.03990242955010145,-0.2699156392567422,-0.021456208807767163,-0.9626448871667173
6,0.05,89.5981218738892,218.110139277214,183.66382163304,0.9608580210112433,-0.060967797708858226,-0.27024949787351843,-0.07014171398011204,-0.9972383313134576,-0.02441004955101269,-0.268014931334598,0.042410354887485666,-0.9624808353312955,0.9608580210112433,-0.07014171398011204,-0.268014931334598,-0.060967797708858226,-0.9972383313134576,0.042410354887485666,-0.27024949787351843,-0.02441004955101269,-0.9624808353312955
7,0.0583333333333333,87.7120878726806,218.135501709601,177.994992351765,0.9611749358451049,-0.05673738020491451,-0.2700437231091316,-0.06624567624254865,-0.9974587880628907,-0.026219772982941807,-0.2678698435478055,0.0430910176671723,-0.9624909927443902,0.9611749358451049,-0.06624567624254865,-0.2678698435478055,-0.05673738020491451,-0.9974587880628907,0.0430910176671723,-0.2700437231091316,-0.026219772982941807,-0.9624909927443902
8,0.0666666666666667,86.0810882920679,217.623715554732,172.320182454593,0.9610522412202593,-0.05713148619508889,-0.270397083805755,-0.06797308284484527,-0.9972087124218937,-0.030894075134834414,-0.267877303357496,0.048070543527292856,-0.9622530712816181,0.9610522412202593,-0.06797308284484527,-0.267877303357496,-0.05713148619508889,-0.9972087124218937,0.048070543527292856,-0.270397083805755,-0.030894075134834414,-0.9622530712816181
9,0.075,84.3304681542571,217.299472629086,166.974942475182,0.961317390852852,-0.055165515801472685,-0.26986226099664734,-0.06636597213998408,-0.9972642675480428,-0.032550551666303745,-0.2673283220793861,0.04920108269360867,-0.9623485967548333,0.961317390852852,-0.06636597213998408,-0.2673283220793861,-0.055165515801472685,-0.9972642675480428,0.04920108269360867,-0.26986226099664734,-0.032550551666303745,-0.9623485967548333
10,0.0833333333333333,82.8806488249316,217.164134581696,161.66351390118,0.9614252415010138,-0.05211014709380157,-0.27008524131203376,-0.0627498340396986,-0.9975506956823065,-0.030904172400125825,-0.2678132993947601,0.046659855482082,-0.9623403215877862,0.9614252415010138,-0.0627498340396986,-0.2678132993947601,-0.05211014709380157,-0.9975506956823065,0.046659855482082,-0.27008524131203376,-0.030904172400125825,-0.9623403215877862
11,0.0916666666666667,81.4346526583181,216.865721866478,156.992237220364,0.9621845586490907,-0.05144740689558125,-0.26749586804467657,-0.06239429182237242,-0.9975196709394967,-0.032580031257551274,-0.26515623214482276,0.048038218248378915,-0.963008048846053,0.9621845586490907,-0.06239429182237242,-0.26515623214482276,-0.05144740689558125,-0.9975196709394967,0.048038218248378915,-0.26749586804467657,-0.032580031257551274,-0.963008048846053
12,0.1,80.1429045641594,216.60296663163,151.596167540745,0.961864305259694,-0.04875650963474785,-0.269146541934915,-0.05952610221588933,-0.997713911088752,-0.031993667732374345,-0.2669713494408524,0.04679481155238063,-0.9625676829135225,0.961864305259694,-0.05952610221588933,-0.2669713494408524,-0.04875650963474785,-0.997713911088752,0.04679481155238063,-0.269146541934915,-0.031993667732374345,-0.9625676829135225
