frame,time,origin_x,origin_y,origin_z,x_axis_x,x_axis_y,x_axis_z,y_axis_x,y_axis_y,y_axis_z,z_axis_x,z_axis_y,z_axis_z,R00,R01,R02,R10,R11,R12,R20,R21,R22,tip_speed_mm_s,tip_vx_mm_s,tip_vy_mm_s,tip_vz_mm_s,frame_rotation_deg,angular_speed_deg_s,x_axis_change_deg,y_axis_change_deg,z_axis_change_deg
0,0.0,103.78845779484,218.998979715113,221.681493604565,0.9608496026722196,-0.0789577501908128,-0.2655818418669525,-0.0885207954081051,-0.9957799872021575,-0.0242133407027479,-0.2625492521889068,0.0467748946816146,-0.9637842079026662,0.9608496026722196,-0.0885207954081051,-0.2625492521889068,-0.0789577501908128,-0.9957799872021575,0.0467748946816146,-0.2655818418669525,-0.0242133407027479,-0.9637842079026662,,,,,,,,,
1,0.0083333333333333,101.101984802,218.739426402406,215.467151055847,0.961195343341792,-0.076226319157496,-0.2651283843834041,-0.085446326158113,-0.996067951014199,-0.0234000493259486,-0.2623021869602614,0.0451462648518679,-0.963929135095412,0.961195343341792,-0.085446326158113,-0.2623021869602614,-0.076226319157496,-0.996067951014199,0.0451462648518679,-0.2651283843834041,-0.0234000493259486,-0.963929135095412,813.017121970578,-322.37675914080074,-31.146397524839937,-745.7211058461605,0.1844047600486618,22.128571205839503,0.159873509584929,0.18295876368928982,0.09474582388895998
2,0.0166666666666667,98.7824292388978,218.775630250126,208.683741265352,0.9609280374564568,-0.0720217156313561,-0.2672642499617152,-0.0809617406454307,-0.9964616890325688,-0.0225676503434032,-0.2646932250393729,0.0433240668436859,-0.9633589787043976,0.9609280374564568,-0.0809617406454307,-0.2646932250393729,-0.0720217156313561,-0.9964616890325688,0.0433240668436859,-0.2672642499617152,-0.0225676503434032,-0.9633589787043976,860.2945300602264,-278.3466675722616,4.344461726400333,-814.0091748593934,0.2939283327255951,35.27139992707112,0.27064058252729023,0.2623086986283613,0.17531529505649138
3,0.025,96.187644560574,218.745190907568,202.24594946118,0.9608845199825028,-0.0686495310277865,-0.2683061332650829,-0.0772296492794678,-0.996780546660536,-0.0215435157598174,-0.2659633819347428,0.0414220193712001,-0.9630927763102816,0.9608845199825028,-0.0772296492794678,-0.2659633819347428,-0.0686495310277865,-0.996780546660536,0.0414220193712001,-0.2683061332650829,-0.0215435157598174,-0.9630927763102816,832.9331080452845,-311.37416139885784,-3.6527211069597034,-772.535016500644,0.23217188447640053,27.860626137168172,0.2022391403110315,0.22248952875050076,0.13192904322731394
4,0.0333333333333333,93.9459404194214,218.443296827021,195.886648580862,0.9607378272657786,-0.0668384639426806,-0.2692869231849439,-0.0755680183714203,-0.9968941523913424,-0.0221703298884686,-0.2669687282436794,0.041649353725236,-0.9628047722535564,0.9607378272657786,-0.0755680183714203,-0.2669687282436794,-0.0668384639426806,-0.9968941523913424,0.041649353725236,-0.2692869231849439,-0.0221703298884686,-0.9628047722535564,809.9518668253766,-269.0044969383127,-36.227289665641976,-763.1161056381653,0.11864240955387176,14.237089146464674,0.11830479839994645,0.10196106055839917,0.061318492397713274
5,0.0416666666666667,91.764438623202,218.40131526246,189.662942814209,0.9608181495809968,-0.063039916881079,-0.2699156392567422,-0.0714553434528982,-0.9972129988099964,-0.0214562088077671,-0.2678107864291084,0.0399024295501014,-0.9626448871667171,0.9608181495809968,-0.0714553434528982,-0.2678107864291084,-0.063039916881079,-0.9972129988099964,0.0399024295501014,-0.2699156392567422,-0.0214562088077671,-0.9626448871667171,791.4109264617097,-261.7802155463268,-5.037787747318093,-746.844691998352,0.24356720267981538,29.228064321577605,0.2206498607522322,0.2398617345907392,0.11148955606314777
6,0.05,89.5981218738892,218.110139277214,183.66382163304,0.9608580210112432,-0.0609677977088582,-0.2702494978735184,-0.070141713980112,-0.9972383313134576,-0.0244100495510126,-0.268014931334598,0.0424103548874856,-0.9624808353312956,0.9608580210112432,-0.070141713980112,-0.268014931334598,-0.0609677977088582,-0.9972383313134576,0.0424103548874856,-0.2702494978735184,-0.0244100495510126,-0.9624808353312956,766.1900546802143,-259.95800991753674,-34.941118229521756,-719.8945417402845,0.18661396717237005,22.393676060684488,0.12027653062100851,0.18522980609098805,0.14447492961515718
7,0.0583333333333333,87.7120878726806,218.135501709601,177.994992351765,0.9611749358451048,-0.0567373802049145,-0.2700437231091316,-0.0662456762425486,-0.9974587880628908,-0.0262197729829418,-0.2678698435478055,0.0430910176671723,-0.9624909927443902,0.9611749358451048,-0.0662456762425486,-0.2678698435478055,-0.0567373802049145,-0.9974587880628908,0.0430910176671723,-0.2700437231091316,-0.0262197729829418,-0.9624909927443902,716.927372993825,-226.32408014503298,3.0434918864398375,-680.2595137530006,0.2465268123589303,29.583217483071763,0.24335020829920276,0.24645737206618232,0.03987948744232388
8,0.0666666666666667,86.0810882920679,217.623715554732,172.320182454593,0.9610522412202592,-0.0571314861950888,-0.270397083805755,-0.0679730828448452,-0.9972087124218936,-0.0308940751348344,-0.267877303357496,0.0480705435272928,-0.962253071281618,0.9610522412202592,-0.0679730828448452,-0.267877303357496,-0.0571314861950888,-0.9972087124218936,0.0480705435272928,-0.270397083805755,-0.0308940751348344,-0.962253071281618,711.2017644790665,-195.71994967352197,-61.414338584277864,-680.9771876606346,0.2866027834944038,34.3923340193282,0.031132087285350437,0.28588023963299186,0.285631911272194
9,0.075,84.3304681542571,217.299472629086,166.974942475182,0.961317390852852,-0.0551655158014726,-0.2698622609966473,-0.066365972139984,-0.9972642675480428,-0.0325505516663037,-0.2673283220793861,0.0492010826936086,-0.9623485967548332,0.961317390852852,-0.066365972139984,-0.2673283220793861,-0.0551655158014726,-0.9972642675480428,0.0492010826936086,-0.2698622609966473,-0.0325505516663037,-0.9623485967548332,676.0740231816144,-210.0744165372966,-38.909151077518935,-641.4287975293246,0.13522176977727424,16.226612373272967,0.11771990411288474,0.13227519696226284,0.07221597363837143
10,0.0833333333333333,82.8806488249316,217.164134581696,161.66351390118,0.9614252415010138,-0.0521101470938015,-0.2700852413120337,-0.0627498340396986,-0.9975506956823064,-0.0309041724001258,-0.2678132993947601,0.046659855482082,-0.9623403215877862,0.9614252415010138,-0.0627498340396986,-0.2678132993947601,-0.0521101470938015,-0.9975506956823064,0.046659855482082,-0.2700852413120337,-0.0309041724001258,-0.9623403215877862,660.889211584924,-173.97831951906147,-16.24056568680095,-637.3714288802398,0.22903567802553984,27.484281363064877,0.17563410983045405,0.22824355752387868,0.14823018290653656
11,0.0916666666666667,81.4346526583181,216.865721866478,156.992237220364,0.9621845586490908,-0.0514474068955812,-0.2674958680446765,-0.0623942918223724,-0.9975196709394968,-0.0325800312575512,-0.2651562321448227,0.0480382182483789,-0.963008048846053,0.9621845586490908,-0.0623942918223724,-0.2651562321448227,-0.0514474068955812,-0.9975196709394968,0.0480382182483789,-0.2674958680446765,-0.0325800312575512,-0.963008048846053,587.8871021150899,-173.51953999361828,-35.80952582616049,-560.553201697918,0.18146706534025245,21.776047840830117,0.1592023419136397,0.09817287706223322,0.1757193215205353
12,0.1,80.1429045641594,216.60296663163,151.596167540745,0.961864305259694,-0.0487565096347478,-0.269146541934915,-0.0595261022158893,-0.997713911088752,-0.0319936677323743,-0.2669713494408524,0.0467948115523806,-0.9625676829135223,0.961864305259694,-0.0595261022158893,-0.2669713494408524,-0.0487565096347478,-0.997713911088752,0.0467948115523806,-0.269146541934915,-0.0319936677323743,-0.9625676829135223,666.5697178306934,-155.00977129904524,-31.530628181758516,-647.528361554281,0.19727950403608718,23.673540484330548,0.1818021631655148,0.16810301684531712,0.1285602296889915
13,0.108333333333333,79.0377554559714,216.420995963281,146.995042611889,0.9624577542922316,-0.047443606653762,-0.2672530175516024,-0.0572671747125624,-0.9979352948984398,-0.0290795099065459,-0.2653215820531659,0.04329262504916,-0.9631875241681436,0.9624577542922316,-0.0572671747125624,-0.2653215820531659,-0.047443606653762,-0.9979352948984398,0.04329262504916,-0.2672530175516024,-0.0290795099065459,-0.9631875241681436,568.2582038161031,-132.61789298256383,-21.836480201882036,-552.1349914627416,0.23857589246253771,28.629107095505677,0.13632703602908222,0.2116386630285038,0.2246350113942536
14,0.116666666666667,78.1740987956589,216.070254726596,142.229018971723,0.9628238911566166,-0.0473373379659277,-0.2659498656745876,-0.0577053219431228,-0.9978428043984237,-0.0313022927232146,-0.2638943925843673,0.0454853179013713,-0.9634785080207752,0.9628238911566166,-0.0577053219431228,-0.2638943925843673,-0.0473373379659277,-0.9978428043984237,0.0454853179013713,-0.2659498656745876,-0.0313022927232146,-0.9634785080207752,582.7591368319198,-103.6387992374918,-42.088948402196195,-571.9228368198741,0.15112567704662488,18.13508124559354,0.07779480625335954,0.1299148558479825,0.1508245128954143
15,0.125,77.0634006330835,215.848357274821,137.762427146567,0.963278195634037,-0.0446591113126644,-0.2647653330645779,-0.0546334011707354,-0.9980428433656268,-0.0304248957791543,-0.2628883970291411,0.0437726693659178,-0.9638327884669782,0.963278195634037,-0.0546334011707354,-0.2628883970291411,-0.0446591113126644,-0.9980428433656268,0.0437726693659178,-0.2647653330645779,-0.0304248957791543,-0.9638327884669782,552.9556695143548,-133.28377950905372,-26.6276942130002,-535.9910190187417,0.19472000473319653,23.36640056798452,0.1697968376511401,0.18340509657295118,0.11559994087472085
16,0.133333333333333,76.1458490848208,215.383722867025,133.215332553194,0.9639826901390784,-0.0442713486986014,-0.2622544962372092,-0.0533839971604375,-0.9981891963364276,-0.027721420678077,-0.2605523401533747,0.0407231629621689,-0.9646004883053692,0.9639826901390784,-0.0533839971604375,-0.2605523401533747,-0.0442713486986014,-0.9981891963364276,0.0407231629621689,-0.2622544962372092,-0.027721420678077,-0.9646004883053692,559.4349963445603,-110.10618579152934,-55.75612893552371,-545.6513512047824,0.22625752837043503,27.150903404453295,0.15105864609967348,0.17084534839289495,0.2244505666725654
